,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
ENDP,16.12,0.61819,True,False,0.933737145876204,21.096753449731647,22.593889022091748,32.352512981445834,32,515.84,515.84,0.025792000000000002,0.025792000000000002
VSI,11.2,0.7965549999999999,True,False,0.8633073492488536,15.935532058291974,18.458700800076777,25.10812184971534,25,280.0,795.84,0.014,0.039792
CORE,34.1,1.1828433088650478,True,False,0.9191003170695665,7.667161506547687,8.342029008317011,16.90841031107513,16,545.6,1341.44,0.027280000000000002,0.067072
FOXF,71.85,1.9908999999999974,True,False,0.9507810194365892,6.427001232239304,6.759707125882462,10.045707971269287,10,718.5,2059.94,0.035925,0.102997
AVAV,107.16,4.825239999999999,True,False,0.9225782521379676,6.245084346347262,6.76916492652521,4.144871550430653,4,428.64,2488.58,0.021432,0.12442900000000001
AMED,118.55,3.3833850000000005,True,False,0.9494697903522458,5.0407056336695,5.308968947605419,5.911239779096968,5,592.75,3081.33,0.0296375,0.15406650000000002
LXU,9.7,0.372475,True,False,0.8420483250703036,4.936978890620961,5.863058857350933,53.69487885092959,53,514.0999999999999,3595.43,0.025704999999999995,0.17977150000000003
SRDX,72.8,2.35259,True,False,0.9354114206867515,4.052210997289946,4.3320093251747265,8.501268814370544,8,582.4,4177.83,0.02912,0.20889150000000004
HMSY,31.99,0.6689999999999996,True,False,0.8793929333090799,3.953505384860008,4.49572112205099,29.89536621823619,29,927.7099999999999,5105.54,0.046385499999999996,0.25527700000000003
MRCY,52.96,1.5111999999999999,True,False,0.9098053711764765,3.9178672501317715,4.306269642116474,13.234515616728428,13,688.48,5794.02,0.034424,0.28970100000000004
OMCL,70.0,1.7712499999999998,True,False,0.9549324942532713,3.5527611887885833,3.7204317689144473,11.291460832745237,11,770.0,6564.02,0.0385,0.328201
BEAT,60.65,2.2271199999999993,True,False,0.9608160194219914,3.4174956309684723,3.556867872607258,8.980207622400233,8,485.2,7049.22,0.02426,0.352461
TRHC,77.83,4.190839999999999,True,False,0.8128297418355274,3.3777665708341624,4.155564685916278,4.7723129491939575,4,311.32,7360.54,0.015566,0.36802700000000005
INGN,254.7,9.406350000000007,True,False,0.9024595981466428,3.3014730422093757,3.6583056449169833,2.126223242809377,2,509.4,7869.94,0.02547,0.39349700000000004
TREX,79.65,2.6429849999999986,True,False,0.9024306639701795,3.2083719574829646,3.5552559166905526,7.567201478631173,7,557.5500000000001,8427.49,0.027877500000000003,0.42137450000000004
EPAY,70.59,1.8028750000000002,True,False,0.9577799627747198,3.147959864495111,3.286725539105421,11.093392498093321,11,776.49,9203.98,0.0388245,0.460199
REGI,27.3,1.0567999999999993,True,False,0.6859456002633003,3.0868849140258177,4.500189100769677,18.925056775170336,18,491.40000000000003,9695.38,0.02457,0.484769
CBM,61.2,1.8044599999999988,True,False,0.8674456062942651,3.0049379823078035,3.4641226614138074,11.083648293672352,11,673.2,10368.58,0.03366,0.518429
ATNI,72.23204148471616,1.5515173137281693,True,False,0.8389070411856917,2.957364142153793,3.5252584576879022,12.890607035471383,12,866.784497816594,11235.364497816594,0.0433392248908297,0.5617682248908298
COKE,181.22,4.469965,True,False,0.889684216326964,2.9266966297427572,3.2895903692947828,4.474307964380034,4,724.88,11960.244497816593,0.036244,0.5980122248908297
IRDM,20.05,0.77425,True,False,0.800417942441434,2.901124374077666,3.62451192089555,25.83144979011947,25,501.25,12461.494497816593,0.0250625,0.6230747248908297
THRM,48.85,1.1774999999999995,True,False,0.9352063240937183,2.8197703673506385,3.0151318427868814,16.98513800424629,16,781.6,13243.094497816594,0.039080000000000004,0.6621547248908297
CTRL,34.48,1.3121000000000016,True,False,0.7640364904304683,2.8167230648952204,3.6866342120757105,15.242740644767911,15,517.1999999999999,13760.294497816594,0.025859999999999998,0.6880147248908297
LGND,259.84,7.946205000000001,True,False,0.9376822023968236,2.7114537596069685,2.8916553526089976,2.516924745837793,2,519.68,14279.974497816595,0.025983999999999997,0.7139987248908297
BELFB,24.85,1.3273399999999995,True,False,0.8784813603620645,2.638775957134197,3.003792768063548,15.067729443850112,15,372.75,14652.724497816595,0.0186375,0.7326362248908297
UEIC,40.1,1.390009999999998,True,False,0.7893954023860444,2.569173909702225,3.2546096695478357,14.388385695066964,14,561.4,15214.124497816594,0.028069999999999998,0.7607062248908297
JBT,117.45,2.8643049999999994,True,False,0.8693084376318254,2.4880331513009972,2.8620832878131384,6.982496626581319,6,704.7,15918.824497816595,0.035235,0.7959412248908297
SPSC,96.08,2.2472149999999993,True,False,0.864580720081728,2.4598414127892703,2.8451263782018454,8.899904993514197,8,768.64,16687.464497816596,0.038432,0.8343732248908298
HLIT,5.4,0.19124999999999986,True,False,0.8553805410421688,2.380854743967887,2.783386609504968,104.57516339869288,104,561.6,17249.064497816595,0.02808,0.8624532248908298
EHTH,27.62,1.2286749999999995,True,False,0.8180363363133925,2.362273975601301,2.887737219898147,16.277697519685848,16,441.92,17690.984497816593,0.022096,0.8845492248908298
USPH,116.9,3.4983099999999987,True,False,0.9131372008390902,2.334888686611281,2.5569965657578404,5.717046230894348,5,584.5,18275.484497816593,0.029225,0.9137742248908298
HF,44.12,0.9800200000000011,True,False,0.7795455223422406,2.3133708459764644,2.967589165319886,20.407746780677922,20,882.4,19157.884497816594,0.04412,0.9578942248908299
AAON,39.85,0.992915,True,False,0.908019720901315,2.2865889932904784,2.518215123148177,20.14271110820161,20,797.0,19954.884497816594,0.03985,0.9977442248908299
NMIH,22.8,0.8145299999999999,True,False,0.7903418127142257,2.276334243040084,2.880189566616246,24.55403729758266,1.0,22.8,19977.684497816594,0.027360000000000002,1.02510422489083
