,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
ENDP,16.12,0.6386072071663236,True,False,0.933737145876204,21.096753449731647,22.593889022091748,31.31815578584764,31,499.72,499.72,0.024986,0.024986
VSI,11.2,0.7329222459325877,True,False,0.8633073492488536,15.935532058291974,18.458700800076777,27.288024222203166,27,302.4,802.12,0.015119999999999998,0.040106
CORE,34.1,1.130827994752394,True,False,0.9191003170695665,7.667161506547687,8.342029008317011,17.686155713167675,17,579.7,1381.8200000000002,0.028985000000000004,0.06909100000000001
FOXF,71.85,1.9471946043426265,True,False,0.9507810194365892,6.427001232239304,6.759707125882462,10.271187047969459,10,718.5,2100.32,0.035925,0.10501600000000001
AVAV,107.16,4.1462539815048745,True,False,0.9225782521379676,6.245084346347262,6.76916492652521,4.823631183524614,4,428.64,2528.96,0.021432,0.126448
AMED,118.55,3.2225714503119436,True,False,0.9494697903522458,5.0407056336695,5.308968947605419,6.206223914155265,6,711.3,3240.26,0.035565,0.16201300000000002
LXU,9.7,0.3441428139456547,True,False,0.8420483250703036,4.936978890620961,5.863058857350933,58.11540787586603,58,562.5999999999999,3802.86,0.028129999999999995,0.190143
SRDX,72.8,2.3932816989674115,True,False,0.9354114206867515,4.052210997289946,4.3320093251747265,8.35672625108405,8,582.4,4385.26,0.02912,0.219263
HMSY,31.99,0.7290849691534544,True,False,0.8793929333090799,3.953505384860008,4.49572112205099,27.431644933267705,27,863.7299999999999,5248.99,0.043186499999999996,0.2624495
MRCY,52.96,1.5802331926688853,True,False,0.9098053711764765,3.9178672501317715,4.306269642116474,12.65635989218884,12,635.52,5884.51,0.031776,0.29422550000000003
OMCL,70.0,1.7874380906120606,True,False,0.9549324942532713,3.5527611887885833,3.7204317689144473,11.1891987224864,11,770.0,6654.51,0.0385,0.3327255
BEAT,60.65,2.1827487531078287,True,False,0.9608160194219914,3.4174956309684723,3.556867872607258,9.162758641608988,9,545.85,7200.360000000001,0.0272925,0.360018
