,Adj_Close,atr,bullish,gap,r2,rank_score,slope
AAOI,31.34,1.8584095549105428,False,True,0.24912685872772533,0.13890844822265055,0.5575811814593054
AAON,37.95,0.9733213956090843,True,False,0.868804006849213,2.069095835260367,2.381544996280701
AAT,36.75,0.5993814725559183,False,False,0.45140616432234715,0.5527713164579183,1.224554204499491
AAWW,63.45,1.6934948555896825,False,False,0.6324505303222544,0.37986604062264245,0.600625697047148
AAXN,66.39,2.51003102792314,True,False,0.11461546102420261,0.1362812926889776,1.1890306200504654
ABCB,46.2,1.0529261142298298,False,False,0.8427763277329593,0.47026311380652036,0.5579927892273775
ABG,70.0,1.4808343561623813,False,False,0.07185442716914059,0.07866545083149222,1.0947891999238812
ABM,32.72,0.7794809789517179,True,False,0.6694685030749743,0.9983453017880801,1.4912505923766732
ACET,2.39,0.17735477247188927,False,False,0.0851208405936551,0.0633719888928815,0.7444943970349517
ACLS,19.65,0.671981310922517,False,False,0.20853770489493795,0.16890937789612293,0.809970446261601
ACOR,19.25,1.2934772904327576,False,False,0.24999610392520036,0.11309305671953193,0.45237927689213003
ADC,52.03,0.921453090887527,False,False,0.470846044358787,0.5679819322518294,1.2063007410953723
ADTN,18.1,0.4371183511317887,True,False,0.8383762912804269,1.6521170456878382,1.9706151794495639
AEGN,24.4,0.5547217371402231,False,False,0.7038403139862983,0.5611873722938765,0.7973220077655301
AEIS,50.55,1.649104024092635,False,False,0.6865617314957942,0.40980408197971746,0.5968932772977136
AEL,35.01,0.6806603632276423,False,False,0.17770573710926751,0.2018136909835823,1.1356622147741426
AGYS,15.95,0.4287833006610171,True,False,0.42344600235795954,0.632465885732974,1.4936163813357242
AHH,14.6,0.28239802045168044,False,False,0.4483915671546108,0.5692712674160322,1.2695851329865457
AIN,79.1,1.4786340502958955,True,False,0.8136982563500216,2.0953362649812695,2.575077737514454
AIR,48.62,1.3239848418335702,True,False,0.08410257398589327,0.07706842148566143,0.916362220954002
AIT,78.2,1.5313326836555305,True,False,0.7091241759742588,0.996759625229474,1.4056207065004316
AJRD,33.32,1.010217668590124,True,False,0.6498779994792,1.3165308397447972,2.025812292153051
AKR,27.66,0.47046563141308273,True,False,0.584462853731821,0.7854961407921257,1.3439624704576147
AKS,4.82,0.1693844507085137,True,False,0.045018861380422104,0.04033609551156218,0.8959821344816069
ALG,92.0,1.9274994899773987,False,False,0.05601335866716572,0.06006267988964564,1.072292062444268
ALGT,128.3,3.509953854048021,False,False,0.6472740906321097,0.38009920872281394,0.5872306866966044
ALRM,56.81,1.8796603372683027,True,False,0.6682038194688489,1.8372527959896725,2.7495395004627383
AMAG,21.35,0.9229648677416993,False,False,4.15754978949634e-05,4.13855839618933e-05,0.9954320707463348
AMBC,20.41,0.4193550608381127,True,False,0.6125092870526813,0.8537840202627917,1.3939119590677465
AMED,122.1,3.3689509472112023,True,False,0.9410703562905351,4.818474604318296,5.1202065521556985
AMN,53.55,1.5579652177323573,False,False,0.20818816153625352,0.16588054874016975,0.7967818511682452
AMPH,19.24,0.4263720879128539,True,False,0.7570306745578735,1.2886012022783289,1.7021783206220897
AMSF,61.45,1.1885301318256125,True,False,0.6156369288090004,0.7898420877373661,1.2829673640036177
AMWD,79.95,2.769582524421989,False,False,0.5680974629439232,0.33228172172270337,0.5849026679344682
ANDE,37.65,0.7682319335024761,True,False,0.7589692685542705,1.4494602458029762,1.9097746191542033
ANF,21.23,1.018661171487997,False,False,0.22031045599581645,0.1400923322030549,0.6358859890232135
ANGO,24.23,0.6017657902262659,True,False,0.41264965186061764,0.5510219902612229,1.3353264392122737
ANIK,42.06,1.0531059997617678,True,True,0.07197585046650168,0.09542484965574417,1.3257898175188065
ANIP,54.05,1.775904641649964,False,True,0.5028060636573333,0.25800988851614093,0.5131399701893351
APEI,32.3,1.0497079322909593,False,False,0.6406449398500447,0.24224721244288897,0.37813022061735413
APOG,41.66,1.1744440442683657,False,False,0.14610176243526263,0.18424190417903624,1.2610518936119846
ARCB,49.4,1.6679659146004675,True,False,0.030837088020128522,0.03261999562513547,1.0578169898481717
ARI,19.26,0.1591103964618223,True,False,0.887084234903565,1.104141385606001,1.2446860649327538
AROC,12.0,0.3971789442952923,False,False,0.2013152331462694,0.2467673849102465,1.2257760183053459
ARR,22.46,0.2420295318599472,False,False,0.5355403348886235,0.618681872672631,1.1552479474796207
ASGN,79.21,1.831653344759543,False,False,0.22151330348713727,0.29090159619970496,1.31324661598303
ASIX,34.24,0.9357361133536756,False,False,0.5446007630667407,0.33932062493897686,0.6230630728980326
ASNA,4.69,0.2848702524604764,True,True,0.33371562887058526,0.6586788949346533,1.973772990985953
ASRT,5.81,0.31383086198943694,False,True,0.031597822493904526,0.025664517367183542,0.8122242402030847
ASTE,50.24,1.2785716754442182,False,False,0.538558233382445,0.24592344509124284,0.4566329690044973
ATNI,70.4,1.7634628467845048,True,False,0.831630749609638,2.892869581360918,3.4785505258419223
ATU,27.6,0.6432224255232117,False,False,0.6020296323080504,0.9920264899241287,1.6478034247598665
AVA,50.39,0.37820670377405197,False,False,0.25729372971955344,0.23646863252753472,0.9190609999912638
AVAV,108.85,4.107985757392741,True,False,0.9258153580977816,6.464439502554256,6.982428457264264
AVD,19.05,0.5344201797984244,False,False,0.5936387619876957,0.38060146007951523,0.6411331005494616
AVP,2.2,0.1341147990677712,True,False,0.4047496565939234,0.9384428007079798,2.3185759034491267
AWR,58.31,0.9318357376495776,True,False,0.6767380392823423,0.8874390742272344,1.3113479998380664
AXE,70.65,1.478792618604087,True,False,0.6918824365434125,1.0970161066257442,1.585552759665856
AXL,17.76,0.561482001170147,True,False,0.39234025071506146,0.5342744553225032,1.3617630471223865
AZZ,50.85,1.0649499299534606,True,False,0.60885600266357,1.2455380381338448,2.045702157299877
B,71.45,1.1768391530278555,True,False,0.8519811252788818,1.561541392251349,1.8328356649218074
BABY,34.95,1.0025120197122914,False,False,0.0005689405338796805,0.0005740555191811041,1.0089903689345947
BANC,18.8,0.399340123334845,False,False,0.03992155497563177,0.04136815888354068,1.0362361613617486
BANR,62.96,1.008023384258168,True,False,0.7813731272297092,1.0876072366951717,1.391917892737352
BCC,37.75,1.3565184846732057,False,False,0.45559916637618064,0.33384696072874326,0.7327646435004479
BCEI,29.84,1.1420644822586927,False,False,0.4244366699634754,0.24718010690124698,0.5823721756240287
BCOR,36.8,1.1088889567542466,True,False,0.46259100549326115,0.35073085353331435,0.7581877930361611
BCPC,113.97,2.3532485876065197,True,False,0.7281822798340223,1.156781950270807,1.5885884376841433
BEAT,61.45,2.0986267121958244,True,False,0.9567434004558166,3.3396849983719497,3.4906799427943165
BEL,18.3,0.4345065174811603,True,True,0.6157344445334664,2.3562716614176273,3.8267660390559155
BELFB,26.25,1.234659081019214,True,False,0.8604968586427438,2.516906479609516,2.9249455757217016
